Configuration,Energy (kWh),Energy Δ (%),Carbon (gCO2),Carbon Δ (%),Latency (s),Latency Δ (%),Renewable (%),Renewable Δ (%),Cost ($)
Full Ecochain Ml,0.041222,+0.00,11.7505,+0.00,1.5960,+0.00,28.74,+0.00,0.003525
Without Renewable Prediction,0.032147,-22.02,0.0000,-100.00,2.2643,+41.88,100.00,+71.26,0.000000
Without Dvfs,0.041434,+0.51,11.9310,+1.54,1.5248,-4.46,28.01,-0.73,0.003579
Without Compression,0.066466,+61.24,17.8560,+51.96,2.1148,+32.51,32.84,+4.10,0.005357
Without Blockchain,0.041222,+0.00,11.7505,+0.00,1.5960,+0.00,28.74,+0.00,0.003525
